                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6438,                 2.5325,                 1.3337,                 0.8797,                0.09678,                0.32954,                0.20052,                 1.2257,                 2.6324,                 1.0819,             0.00046751,             0.00046751,             0.00046751
                      2,                 1.3145,                 1.3208,                 1.0736,                 0.8454,                0.43902,                0.49873,                0.29876,                 1.2023,                 1.4299,                 1.0392,             0.00090647,             0.00090647,             0.00090647
                      3,                  1.271,                 1.1514,                 1.0559,                0.53762,                0.47127,                0.51788,                 0.3166,                 1.1479,                 1.2276,                 1.0354,              0.0013077,              0.0013077,              0.0013077
                      4,                 1.2652,                 1.0837,                 1.0522,                0.56081,                0.52258,                0.56382,                0.35944,                 1.1075,                 1.0962,                 1.0173,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.2191,                0.98092,                 1.0378,                0.75528,                0.61153,                0.67935,                0.43976,                  1.076,                0.98732,                   1.01,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.1927,                0.94215,                 1.0217,                0.74267,                0.58448,                0.65976,                0.44506,                 1.0371,                0.87178,                0.99192,              0.0012026,              0.0012026,              0.0012026
                      7,                 1.1647,                0.89626,                 1.0095,                0.71662,                0.64774,                0.71096,                 0.4636,                  1.053,                0.79925,                0.99603,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.1699,                0.86429,                   1.02,                0.77058,                 0.6452,                0.70575,                0.46751,                 1.0529,                0.77431,                0.98854,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.1598,                 0.8213,                 1.0143,                0.85379,                0.68022,                0.78942,                0.52487,                 1.0288,                0.69732,                0.97565,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.1386,                  0.778,                 1.0083,                0.81414,                0.71776,                0.78584,                0.50518,                 1.0599,                0.67453,                0.98861,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.1202,                0.75237,                 0.9946,                0.83328,                0.68753,                0.78157,                0.53184,                 1.0063,                0.65441,                0.98089,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.1342,                0.75893,                  1.005,                0.83663,                0.73193,                0.80958,                0.55198,                 0.9794,                0.62917,                0.95693,             0.00086312,             0.00086312,             0.00086312
                     13,                  1.092,                0.72562,                0.98014,                0.83004,                0.73334,                0.79706,                0.53756,                0.99272,                0.61086,                0.97331,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.0798,                0.68637,                0.98752,                 0.8687,                0.73068,                0.83273,                0.57718,                0.96321,                0.57638,                0.95847,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.0756,                0.68945,                0.98586,                 0.8696,                0.75079,                0.84059,                0.57634,                0.96358,                0.55404,                0.94668,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.0874,                0.68994,                0.97511,                0.89057,                0.75425,                0.84533,                0.57489,                0.96444,                0.57036,                0.95123,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.0531,                0.64931,                0.97692,                0.90523,                 0.7583,                0.86144,                0.59824,                0.94375,                0.55256,                0.94747,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.0508,                0.63217,                0.97482,                0.87974,                0.79619,                0.86481,                0.60086,                0.92927,                0.52836,                0.94177,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.0282,                0.61193,                 0.9615,                 0.8981,                0.78046,                0.87024,                0.60476,                0.92137,                0.51658,                 0.9392,               0.000467,               0.000467,               0.000467
                     20,                 1.0261,                0.60303,                0.95993,                0.90479,                0.79761,                0.88214,                0.61954,                0.90445,                0.50338,                 0.9347,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.0159,                0.59021,                0.95821,                 0.8845,                0.81898,                0.88899,                0.63487,                0.87236,                0.48366,                0.92197,             0.00035382,             0.00035382,             0.00035382
                     22,                 1.0069,                 0.5698,                0.94957,                0.88807,                0.81602,                 0.8982,                0.64272,                0.86055,                0.47047,                0.91962,             0.00029723,             0.00029723,             0.00029723
                     23,                      1,                0.55577,                0.95724,                 0.9261,                 0.7926,                0.89427,                0.63557,                0.88288,                0.46582,                0.91966,             0.00024064,             0.00024064,             0.00024064
                     24,                0.99163,                0.54666,                   0.95,                0.93148,                 0.8129,                0.89761,                0.64311,                0.86423,                0.45395,                0.91652,             0.00018406,             0.00018406,             0.00018406
                     25,                0.98147,                  0.532,                0.94345,                0.93427,                0.80702,                0.90609,                0.65124,                0.84568,                0.44459,                0.90992,             0.00012747,             0.00012747,             0.00012747
