                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6438,                 2.5325,                 1.3337,                 0.8797,                0.09678,                0.32954,                0.20052,                 1.2257,                 2.6324,                 1.0819,             0.00046751,             0.00046751,             0.00046751
                      2,                 1.3182,                 1.3212,                  1.074,                0.83935,                0.43154,                0.48031,                0.29012,                 1.2228,                 1.4441,                 1.0581,             0.00092516,             0.00092516,             0.00092516
                      3,                 1.2776,                 1.1578,                 1.0572,                0.84968,                0.44581,                0.53876,                 0.3328,                 1.1196,                 1.2611,                 1.0357,              0.0013639,              0.0013639,              0.0013639
                      4,                 1.2999,                 1.1182,                 1.0647,                0.52584,                 0.5431,                0.56552,                0.35703,                 1.0921,                 1.0876,                 1.0102,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2189,                0.99525,                  1.039,                0.77035,                 0.5827,                0.65545,                0.41676,                 1.1083,                0.94713,                 1.0254,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.1988,                0.94771,                 1.0252,                 0.7869,                0.61966,                0.68347,                0.46042,                 1.0411,                0.88361,                0.99503,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.1799,                0.89682,                 1.0168,                0.71877,                0.62868,                0.68274,                0.44011,                 1.0726,                0.81566,                 1.0027,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.1884,                0.87589,                 1.0293,                0.77932,                0.62021,                0.69042,                 0.4486,                 1.0738,                0.78773,                 1.0085,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.1768,                 0.8317,                 1.0225,                0.78698,                0.67234,                0.73878,                0.47759,                 1.0678,                0.74293,                0.99055,              0.0012309,              0.0012309,              0.0012309
                     10,                  1.147,                0.79686,                 1.0162,                0.74589,                0.69823,                0.71321,                0.47475,                 1.0159,                0.68654,                0.97515,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.1245,                0.77231,                 1.0013,                0.86377,                0.67632,                0.77497,                0.52198,                0.99331,                0.65659,                0.96664,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.1438,                0.77192,                 1.0158,                0.82573,                0.72711,                0.80185,                0.55071,                0.96229,                0.61625,                0.95229,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.1273,                0.75236,                 1.0001,                0.85891,                0.74733,                0.82745,                0.54159,                 1.0362,                0.65402,                 1.0018,              0.0011178,              0.0011178,              0.0011178
